date,open,high,low,close
2024-08-05,74.21,74.46,71.67,72.94
2024-08-06,73.86,74.56,72.2,73.2
2024-08-07,72.84,75.84,72.58,75.23
2024-08-08,75.47,76.52,74.6,76.19
2024-08-09,76.02,77.09,75.85,76.84
2024-08-12,76.99,80.16,76.7,80.06
2024-08-13,79.74,80.15,78.16,78.35
2024-08-14,78.73,79.1,76.83,76.98
2024-08-15,77.52,78.6,76.93,78.16
2024-08-16,78.16,78.16,75.54,76.65
2024-08-19,76.58,76.87,74.17,74.37
2024-08-20,74.34,75.03,73.5,74.04
2024-08-21,73.12,74.16,71.46,71.93
2024-08-22,71.93,73.52,71.58,73.01
2024-08-23,72.96,75.07,72.83,74.83
2024-08-26,75.1,77.6,75.04,77.42
2024-08-27,77.2,77.48,75.4,75.53
2024-08-28,75.75,75.95,73.82,74.52
2024-08-29,74.42,76.91,74.05,75.91
2024-08-30,75.87,76.59,73.36,73.55
2024-09-03,73.53,74.41,70.1,70.34
2024-09-04,70.28,71.46,68.82,69.2
2024-09-05,69.27,70.82,68.75,69.15
2024-09-06,69.33,70.13,67.17,67.67
2024-09-09,68.13,68.96,67.31,68.71
2024-09-10,68.78,69.08,65.27,65.75
2024-09-11,66.28,67.97,65.63,67.31
2024-09-12,67.39,69.81,67.24,68.97
2024-09-13,69.31,70.32,68.47,68.65
2024-09-16,69.16,70.7,68.65,70.09
2024-09-17,70.5,71.92,69.61,71.19
2024-09-18,71.14,71.48,69.73,70.91
2024-09-19,70.13,72.49,70.13,71.95
2024-09-20,72.1,72.4,71.36,71.92
2024-09-23,71.31,71.81,69.49,70.37
2024-09-24,70.76,72.4,70.44,71.56
2024-09-25,71.54,71.72,69.23,69.69
2024-09-26,69.89,70.01,66.95,67.67
2024-09-27,67.45,68.65,67.06,68.18
2024-09-30,68.63,69.32,67.57,68.17
2024-10-01,68.41,71.94,66.33,69.83
2024-10-02,70.8,72.49,69.87,70.1
2024-10-03,70.98,74.09,70.52,73.71
2024-10-04,73.95,75.57,73.46,74.38
2024-10-07,74.4,77.4,73.62,77.14
2024-10-08,77.33,78.46,72.69,73.57
2024-10-09,73.84,74.45,71.53,73.24
