date,open,high,low,close
2016-08-04,41.16,42.08,40.43,41.93
2016-08-05,41.84,42.1,41.06,41.8
2016-08-08,41.99,43.39,41.81,43.02
2016-08-09,42.83,43.52,42.47,42.77
2016-08-10,42.74,43.39,41.42,41.71
2016-08-11,41.48,43.86,41.1,43.49
2016-08-12,43.46,44.78,43.31,44.49
2016-08-15,44.74,45.93,44.38,45.74
2016-08-16,45.59,46.73,45.34,46.58
2016-08-17,46.37,46.95,45.84,46.79
2016-08-18,46.9,48.38,46.63,48.22
2016-08-19,48.33,48.75,47.93,48.52
2016-08-22,48.4,48.4,46.75,47.05
2016-08-23,47.39,48.32,46.59,48.1
2016-08-24,47.59,47.74,46.45,46.77
2016-08-25,46.8,47.46,46.42,47.33
2016-08-26,47.37,48.46,46.94,47.64
2016-08-29,47.22,47.28,46.62,46.98
2016-08-30,46.98,47.49,46.21,46.35
2016-08-31,46.24,46.41,44.51,44.7
2016-09-01,44.85,45.08,43.0,43.16
2016-09-02,43.55,44.67,43.16,44.44
2016-09-06,44.15,46.53,43.84,44.83
2016-09-07,44.85,46.17,44.55,45.5
2016-09-08,46.12,47.75,45.77,47.62
2016-09-09,47.36,47.36,45.56,45.88
2016-09-12,45.57,46.51,44.72,46.29
2016-09-13,46.06,46.13,44.77,44.9
2016-09-14,45.0,45.33,43.42,43.58
2016-09-15,43.7,44.34,43.26,43.91
2016-09-16,43.71,43.75,42.74,43.03
2016-09-19,43.18,44.15,43.12,43.3
2016-09-20,43.13,44.05,42.55,43.44
2016-09-21,44.5,45.65,44.5,45.34
2016-09-22,45.62,46.52,45.52,46.32
2016-09-23,46.07,46.55,44.22,44.48
2016-09-26,44.62,46.2,44.43,45.93
2016-09-27,45.62,45.96,44.19,44.67
2016-09-28,44.96,47.45,44.35,47.05
2016-09-29,47.2,48.32,46.6,47.83
2016-09-30,47.76,48.3,47.04,48.24
2016-10-03,48.04,49.02,47.78,48.81
2016-10-04,48.65,49.26,48.26,48.69
2016-10-05,49.26,49.97,49.1,49.83
2016-10-06,49.65,50.63,49.33,50.44
2016-10-07,50.59,50.74,49.4,49.81
2016-10-11,51.1,51.54,50.39,50.79
2016-10-12,50.84,51.17,49.89,50.18
2016-10-13,50.0,50.59,49.36,50.44
2016-10-14,50.58,51.14,49.9,50.35
2016-10-17,50.23,50.58,49.47,49.94
2016-10-18,50.04,50.78,49.76,50.29
2016-10-19,50.77,51.93,50.69,51.6
2016-10-20,51.4,51.58,50.25,50.43
2016-10-21,50.66,51.02,50.21,50.85
2016-10-24,50.85,50.98,49.62,50.52
2016-10-25,50.49,50.93,49.27,49.96
2016-10-26,49.31,50.1,48.87,49.18
2016-10-27,49.22,50.06,49.0,49.72
2016-10-28,49.61,49.81,48.42,48.7
2016-10-31,48.25,48.74,46.63,46.86
2016-11-01,46.77,47.35,46.2,46.67
2016-11-02,46.32,46.47,44.96,45.34
2016-11-03,45.48,45.9,44.37,44.66
2016-11-04,44.63,44.87,43.57,44.07
2016-11-07,44.45,45.01,44.11,44.89
2016-11-08,44.97,45.39,44.41,44.98
2016-11-09,44.82,45.95,43.07,45.27
2016-11-10,45.31,45.64,44.25,44.66
2016-11-14,43.2,43.81,42.2,43.32
2016-11-15,43.76,46.09,43.55,45.81
2016-11-16,45.77,46.41,45.03,45.57
2016-11-17,45.37,46.58,44.88,45.42
2016-11-18,44.93,45.77,44.55,45.69
2016-11-21,45.83,47.8,45.77,47.49
2016-11-22,48.37,49.2,47.17,48.03
2016-11-23,47.94,48.43,47.4,47.96
2016-11-25,47.97,48.26,45.88,46.06
