date,open,high,low,close
2016-08-04,2156.75,2164.25,2154.0,2159.25
2016-08-05,2159.5,2178.5,2159.25,2176.75
2016-08-08,2176.0,2183.0,2173.25,2175.5
2016-08-09,2176.0,2183.5,2173.75,2177.5
2016-08-10,2178.0,2181.5,2167.75,2172.75
2016-08-11,2172.5,2185.25,2170.0,2181.75
2016-08-12,2181.75,2184.0,2175.5,2180.25
2016-08-15,2180.75,2190.75,2180.5,2186.0
2016-08-16,2186.0,2186.25,2175.25,2176.75
2016-08-17,2177.5,2182.0,2165.5,2179.75
2016-08-18,2180.75,2184.5,2176.25,2183.5
2016-08-19,2183.5,2184.25,2172.5,2181.75
2016-08-22,2181.75,2184.5,2173.5,2181.5
2016-08-23,2180.75,2191.5,2179.25,2185.25
2016-08-24,2185.75,2187.75,2168.75,2175.0
2016-08-25,2175.0,2177.25,2167.5,2173.5
2016-08-26,2174.0,2186.75,2157.5,2168.5
2016-08-29,2167.75,2182.25,2164.5,2179.25
2016-08-30,2180.0,2181.5,2168.5,2175.25
2016-08-31,2175.75,2176.25,2159.5,2169.5
2016-09-01,2169.0,2177.25,2154.75,2167.25
2016-09-02,2166.25,2183.75,2164.25,2178.0
2016-09-06,2179.25,2186.25,2173.0,2184.5
2016-09-07,2185.25,2186.75,2177.5,2184.5
2016-09-08,2184.5,2189.25,2175.75,2177.5
2016-09-09,2177.25,2178.25,2119.75,2122.75
2016-09-12,2121.75,2162.75,2107.0,2158.5
2016-09-13,2156.25,2157.5,2119.0,2128.75
2016-09-14,2131.75,2141.25,2118.75,2120.25
2016-09-15,2121.75,2151.5,2114.75,2145.0
2016-09-16,2143.75,2144.25,2135.5,2141.75
2016-09-19,2132.25,2146.75,2127.75,2133.0
2016-09-20,2133.75,2143.5,2129.0,2131.0
2016-09-21,2130.0,2157.5,2126.25,2156.25
2016-09-22,2156.25,2172.75,2152.75,2168.25
2016-09-23,2168.25,2169.5,2156.0,2158.0
2016-09-26,2156.25,2159.5,2136.75,2139.75
2016-09-27,2139.25,2154.0,2132.75,2152.75
2016-09-28,2152.0,2165.25,2144.0,2163.25
2016-09-29,2162.25,2167.0,2137.25,2148.5
2016-09-30,2145.75,2168.25,2135.75,2160.5
2016-10-03,2158.75,2164.0,2146.75,2153.25
2016-10-04,2153.75,2159.75,2136.0,2144.75
2016-10-05,2144.25,2158.0,2141.0,2153.25
2016-10-06,2153.25,2157.25,2143.25,2156.5
2016-10-07,2155.25,2161.5,2138.0,2146.5
2016-10-11,2159.5,2160.75,2121.75,2134.5
2016-10-12,2133.0,2140.75,2126.25,2131.5
2016-10-13,2127.75,2132.25,2107.75,2126.25
2016-10-14,2126.25,2143.25,2122.25,2127.0
2016-10-17,2126.25,2130.0,2116.75,2123.0
2016-10-18,2122.5,2139.75,2120.25,2132.0
2016-10-19,2131.5,2142.5,2126.5,2138.0
2016-10-20,2137.5,2144.5,2126.75,2137.0
2016-10-21,2136.0,2138.5,2123.25,2134.75
2016-10-24,2137.0,2149.0,2134.75,2144.25
2016-10-25,2144.75,2149.75,2135.25,2138.0
2016-10-26,2135.25,2140.0,2124.75,2134.0
2016-10-27,2133.75,2143.75,2122.5,2123.5
2016-10-28,2127.25,2135.25,2112.5,2123.75
2016-10-31,2120.0,2130.5,2114.75,2120.0
2016-11-01,2123.5,2129.5,2091.0,2103.75
2016-11-02,2102.25,2106.5,2087.25,2092.25
2016-11-03,2088.25,2098.75,2079.75,2083.5
2016-11-04,2084.0,2094.25,2078.75,2080.0
2016-11-07,2106.0,2130.75,2102.75,2129.0
2016-11-08,2129.0,2143.25,2119.0,2135.5
2016-11-09,2138.0,2166.75,2028.5,2160.25
2016-11-10,2159.5,2180.5,2147.75,2167.25
2016-11-14,2164.5,2174.5,2152.25,2160.5
2016-11-15,2161.0,2179.75,2158.5,2179.25
2016-11-16,2179.0,2185.0,2168.75,2172.75
2016-11-17,2172.5,2185.5,2171.75,2184.25
2016-11-18,2184.0,2187.5,2176.5,2180.75
2016-11-21,2179.5,2196.5,2178.5,2193.0
2016-11-22,2193.25,2203.0,2191.75,2200.25
2016-11-23,2201.25,2203.5,2192.0,2200.75
2016-11-25,2201.0,2211.75,2197.5,2211.25
2016-11-28,2208.0,2209.5,2198.25,2200.75
2016-11-29,2200.25,2209.5,2196.25,2203.75
2016-11-30,2203.25,2213.75,2197.25,2198.75
2016-12-01,2199.5,2203.0,2186.0,2192.0
2016-12-02,2190.5,2197.25,2184.25,2192.0
2016-12-05,2184.0,2208.75,2179.0,2204.25
2016-12-06,2205.0,2212.0,2200.25,2210.0
2016-12-07,2211.25,2241.25,2206.75,2236.75
2016-12-08,2236.5,2251.5,2232.5,2247.75
2016-12-09,2246.75,2261.25,2245.0,2260.0
2016-12-12,2260.75,2270.25,2252.25,2256.0
2016-12-13,2256.0,2278.25,2253.25,2273.25
2016-12-14,2273.25,2277.0,2248.0,2257.0
2016-12-15,2256.0,2272.75,2252.25,2263.5
2016-12-16,2264.25,2269.5,2261.75,2267.5
2016-12-19,2256.0,2263.75,2254.0,2260.0
2016-12-20,2260.25,2269.5,2260.0,2266.5
2016-12-21,2267.25,2268.0,2258.0,2260.5
2016-12-22,2258.25,2261.0,2251.5,2258.75
2016-12-23,2257.5,2261.0,2254.25,2260.0
2016-12-27,2258.75,2269.5,2257.75,2261.0
2016-12-28,2261.25,2267.5,2243.5,2245.25
2016-12-29,2245.5,2250.0,2239.5,2245.0
2016-12-30,2246.25,2252.75,2228.0,2236.25
2017-01-03,2240.75,2259.5,2239.5,2252.5
2017-01-04,2252.75,2267.25,2251.0,2264.25
2017-01-05,2264.5,2266.0,2254.0,2264.25
2017-01-06,2264.25,2277.0,2258.25,2271.5
2017-01-09,2271.25,2275.25,2263.5,2265.0
2017-01-10,2264.5,2274.0,2259.5,2263.75
2017-01-11,2263.75,2271.75,2255.0,2270.5
2017-01-12,2270.5,2270.5,2248.5,2263.5
2017-01-13,2264.5,2273.5,2262.75,2272.5
2017-01-17,2270.25,2270.5,2257.25,2262.75
2017-01-18,2262.0,2268.5,2258.25,2266.5
2017-01-19,2265.5,2269.5,2253.0,2261.5
2017-01-20,2261.0,2272.75,2259.75,2266.0
2017-01-23,2266.0,2267.5,2251.75,2262.0
2017-01-24,2260.75,2280.5,2259.5,2274.5
2017-01-25,2275.75,2295.25,2274.75,2294.0
2017-01-26,2293.75,2299.5,2289.5,2294.0
2017-01-27,2294.0,2296.75,2287.0,2289.0
2017-01-30,2282.0,2285.75,2263.25,2276.0
2017-01-31,2275.75,2278.25,2262.25,2274.5
2017-02-01,2277.0,2285.0,2268.25,2274.5
2017-02-02,2275.0,2279.75,2264.5,2275.5
2017-02-03,2274.0,2294.0,2270.5,2291.0
2017-02-06,2293.0,2294.25,2283.5,2286.5
2017-02-07,2286.25,2295.0,2284.0,2288.5
2017-02-08,2285.75,2292.0,2281.0,2290.25
2017-02-09,2290.5,2307.75,2287.75,2304.25
2017-02-10,2304.25,2315.75,2303.0,2312.75
2017-02-13,2314.25,2329.0,2313.25,2326.25
2017-02-14,2326.5,2337.75,2319.75,2337.0
2017-02-15,2335.5,2351.5,2331.25,2350.5
2017-02-16,2350.25,2350.75,2336.75,2345.5
2017-02-17,2345.0,2348.75,2336.5,2348.0
2017-02-21,2346.5,2365.0,2346.0,2360.0
2017-02-22,2360.0,2363.75,2355.25,2361.0
2017-02-23,2362.0,2367.5,2353.0,2362.75
2017-02-24,2361.5,2365.75,2349.5,2365.0
2017-02-27,2362.75,2370.75,2361.0,2368.25
2017-02-28,2365.75,2368.75,2357.5,2362.75
2017-03-01,2364.5,2401.0,2363.25,2393.5
2017-03-02,2392.25,2394.25,2378.0,2382.0
2017-03-03,2379.75,2383.25,2373.75,2381.25
2017-03-06,2380.25,2380.75,2367.0,2375.5
2017-03-07,2371.25,2375.5,2364.5,2366.5
2017-03-08,2365.75,2373.0,2359.5,2364.0
2017-03-09,2363.75,2369.25,2354.0,2366.25
2017-03-10,2367.5,2379.75,2362.25,2371.75
2017-03-13,2370.75,2375.25,2368.0,2375.0
2017-03-14,2374.0,2374.75,2358.0,2366.5
2017-03-15,2367.0,2390.5,2366.5,2383.75
2017-03-16,2382.5,2392.0,2376.75,2382.75
2017-03-17,2382.25,2385.75,2379.0,2384.5
2017-03-20,2373.75,2376.0,2365.5,2370.25
2017-03-21,2369.0,2378.75,2338.0,2342.25
2017-03-22,2340.5,2348.75,2332.25,2342.5
2017-03-23,2342.25,2356.0,2338.25,2340.0
2017-03-24,2341.0,2352.75,2331.75,2344.75
2017-03-27,2337.0,2341.5,2317.75,2338.5
2017-03-28,2340.5,2360.5,2333.5,2351.5
2017-03-29,2353.0,2359.75,2348.75,2357.0
2017-03-30,2357.0,2366.75,2353.25,2364.5
2017-03-31,2365.5,2366.75,2356.75,2359.25
2017-04-03,2357.5,2363.25,2340.0,2356.0
2017-04-04,2354.25,2358.75,2344.75,2356.5
