date,open,high,low,close
2024-08-04,1.09,1.1,1.09,1.09
2024-08-05,1.1,1.1,1.09,1.1
2024-08-06,1.09,1.09,1.09,1.09
2024-08-07,1.09,1.09,1.09,1.09
2024-08-08,1.09,1.09,1.09,1.09
2024-08-11,1.09,1.09,1.09,1.09
2024-08-12,1.09,1.1,1.09,1.09
2024-08-13,1.1,1.1,1.1,1.1
2024-08-14,1.1,1.1,1.1,1.1
2024-08-15,1.1,1.1,1.1,1.1
2024-08-18,1.1,1.11,1.1,1.1
2024-08-19,1.11,1.11,1.11,1.11
2024-08-20,1.11,1.11,1.11,1.11
2024-08-21,1.12,1.12,1.11,1.12
2024-08-22,1.11,1.12,1.11,1.11
2024-08-25,1.12,1.12,1.12,1.12
2024-08-26,1.12,1.12,1.12,1.12
2024-08-27,1.12,1.12,1.11,1.12
2024-08-28,1.11,1.11,1.11,1.11
2024-08-29,1.11,1.11,1.11,1.11
2024-09-01,1.1,1.11,1.1,1.1
2024-09-02,1.11,1.11,1.1,1.11
2024-09-03,1.1,1.11,1.1,1.1
2024-09-04,1.11,1.11,1.11,1.11
2024-09-05,1.11,1.11,1.11,1.11
2024-09-08,1.11,1.11,1.1,1.11
2024-09-09,1.1,1.11,1.1,1.1
2024-09-10,1.1,1.11,1.1,1.1
2024-09-11,1.1,1.1,1.1,1.1
2024-09-12,1.11,1.11,1.11,1.11
2024-09-15,1.11,1.11,1.11,1.11
2024-09-16,1.11,1.11,1.11,1.11
2024-09-17,1.11,1.11,1.11,1.11
2024-09-18,1.11,1.12,1.11,1.11
2024-09-19,1.12,1.12,1.11,1.12
2024-09-22,1.12,1.12,1.11,1.12
2024-09-23,1.11,1.12,1.11,1.11
2024-09-24,1.12,1.12,1.11,1.12
2024-09-25,1.11,1.12,1.11,1.11
2024-09-26,1.12,1.12,1.11,1.12
2024-09-29,1.12,1.12,1.11,1.12
2024-09-30,1.11,1.11,1.11,1.11
2024-10-01,1.11,1.11,1.1,1.11
2024-10-02,1.1,1.1,1.1,1.1
2024-10-03,1.1,1.1,1.1,1.1
2024-10-06,1.1,1.1,1.1,1.1
2024-10-07,1.1,1.1,1.1,1.1
2024-10-08,1.1,1.1,1.09,1.1
2024-10-09,1.09,1.1,1.09,1.09
