date,open,high,low,close
2016-08-03,1.1152,1.1156,1.1118,1.1152
2016-08-04,1.1134,1.1161,1.1049,1.1135
2016-08-07,1.1088,1.1106,1.1074,1.109
2016-08-08,1.1087,1.1122,1.1072,1.1084
2016-08-09,1.1118,1.12,1.1118,1.1116
2016-08-10,1.1186,1.1191,1.1138,1.1186
2016-08-11,1.1139,1.122,1.1133,1.1139
2016-08-14,1.1167,1.1206,1.1155,1.1167
2016-08-15,1.1184,1.1324,1.1179,1.1184
2016-08-16,1.1279,1.1294,1.1256,1.1276
2016-08-17,1.1302,1.134,1.1296,1.1299
2016-08-18,1.1349,1.1352,1.1306,1.1349
2016-08-21,1.1301,1.1333,1.1274,1.1298
2016-08-22,1.1319,1.1357,1.131,1.1319
2016-08-23,1.1303,1.1313,1.1246,1.1301
2016-08-24,1.1263,1.13,1.1261,1.1264
2016-08-25,1.1289,1.134,1.1235,1.1291
2016-08-28,1.1197,1.121,1.1161,1.1199
2016-08-29,1.1192,1.1192,1.114,1.1193
2016-08-30,1.1151,1.1164,1.1126,1.1153
2016-08-31,1.1158,1.12,1.113,1.1161
2016-09-01,1.1201,1.1251,1.1154,1.1201
2016-09-04,1.1161,1.1184,1.1141,1.1162
2016-09-05,1.1152,1.1254,1.1145,1.1153
2016-09-06,1.1249,1.1265,1.1233,1.1254
2016-09-07,1.1241,1.133,1.1238,1.1241
2016-09-08,1.1269,1.1287,1.1206,1.1271
2016-09-11,1.1241,1.1263,1.1215,1.1241
2016-09-12,1.1241,1.126,1.122,1.1244
2016-09-13,1.122,1.1275,1.1215,1.1219
2016-09-14,1.1245,1.1282,1.1221,1.1247
2016-09-15,1.1248,1.125,1.1156,1.1246
2016-09-18,1.1161,1.121,1.1154,1.1158
2016-09-19,1.1179,1.1213,1.1166,1.1181
2016-09-20,1.1156,1.1169,1.1126,1.1154
2016-09-21,1.1193,1.1259,1.1182,1.1193
2016-09-22,1.121,1.123,1.1196,1.121
2016-09-25,1.124,1.1279,1.1222,1.1239
2016-09-26,1.1251,1.126,1.1194,1.125
2016-09-27,1.1218,1.1237,1.1184,1.122
2016-09-28,1.1225,1.125,1.1199,1.1225
2016-09-29,1.1222,1.125,1.1154,1.122
2016-10-02,1.1236,1.1244,1.1206,1.1235
2016-10-03,1.1213,1.125,1.114,1.121
2016-10-04,1.1211,1.124,1.1192,1.1211
2016-10-05,1.1208,1.1212,1.115,1.1208
2016-10-06,1.1146,1.1202,1.1106,1.1145
2016-10-09,1.1195,1.1202,1.1151,1.1197
2016-10-10,1.1143,1.1143,1.1056,1.1141
2016-10-11,1.1062,1.1062,1.1006,1.1062
2016-10-12,1.1013,1.1049,1.0986,1.1012
2016-10-13,1.105,1.1058,1.0985,1.105
2016-10-16,1.0969,1.1012,1.0965,1.0968
2016-10-17,1.1012,1.1029,1.0972,1.1016
2016-10-18,1.0976,1.1005,1.0956,1.0977
2016-10-19,1.0976,1.1029,1.0916,1.0975
2016-10-20,1.093,1.0931,1.0862,1.093
2016-10-23,1.0885,1.0902,1.086,1.0883
2016-10-24,1.0875,1.09,1.0853,1.0875
2016-10-25,1.0887,1.0948,1.0877,1.0887
2016-10-26,1.0911,1.0942,1.0894,1.0912
2016-10-27,1.09,1.0953,1.0898,1.09
2016-10-31,1.0984,1.0984,1.0939,1.0985
2016-11-01,1.0973,1.1051,1.0962,1.0973
2016-11-02,1.1059,1.112,1.1052,1.1057
2016-11-03,1.1098,1.1128,1.1061,1.1098
2016-11-04,1.1102,1.1126,1.1084,1.1102
2016-11-07,1.1096,1.1112,1.1034,1.1101
2016-11-08,1.105,1.1068,1.1031,1.1052
2016-11-09,1.102,1.1302,1.0934,1.1019
2016-11-10,1.092,1.0955,1.0866,1.0921
2016-11-11,1.089,1.0925,1.0857,1.089
2016-11-14,1.0826,1.0874,1.0711,1.0825
2016-11-15,1.0747,1.0817,1.0724,1.075
2016-11-16,1.0726,1.0761,1.0671,1.0727
2016-11-17,1.0705,1.075,1.0667,1.0707
2016-11-18,1.0625,1.064,1.0573,1.0623
2016-11-21,1.0585,1.0651,1.0585,1.0584
2016-11-22,1.0639,1.0659,1.0587,1.0639
2016-11-23,1.0634,1.0645,1.053,1.0634
2016-11-24,1.0546,1.0588,1.0523,1.0545
2016-11-25,1.0564,1.0628,1.0541,1.0562
2016-11-28,1.0611,1.0685,1.0567,1.0612
2016-11-29,1.062,1.0634,1.0569,1.0621
2016-11-30,1.0648,1.0667,1.0585,1.0648
2016-12-01,1.0592,1.0637,1.0588,1.0592
2016-12-02,1.0663,1.0692,1.0628,1.0663
2016-12-05,1.0571,1.0741,1.0542,1.0582
2016-12-06,1.0758,1.0785,1.0726,1.0757
2016-12-07,1.0719,1.0769,1.0714,1.072
2016-12-08,1.076,1.0857,1.061,1.0762
2016-12-09,1.0621,1.0632,1.0538,1.0621
2016-12-12,1.0546,1.0627,1.0527,1.0547
2016-12-13,1.0643,1.0653,1.0607,1.0642
2016-12-14,1.063,1.0667,1.0615,1.0629
2016-12-15,1.0515,1.0525,1.0404,1.0514
2016-12-16,1.0418,1.0472,1.0404,1.0419
2016-12-19,1.0448,1.0482,1.0413,1.045
2016-12-20,1.0405,1.042,1.0355,1.0406
2016-12-21,1.0394,1.0452,1.0385,1.039
2016-12-22,1.0428,1.0498,1.0428,1.0429
